Sample 15, Group score: 0, Time: 15.367 seconds
Sample 24, Group score: 0, Time: 60.001 seconds
Sample 43, Group score: 0, Time: 22.467 seconds
Sample 55, Group score: 0, Time: 37.528 seconds
Sample 57, Group score: 0, Time: 18.663 seconds
Sample 63, Group score: 0, Time: 41.336 seconds
Sample 65, Group score: 1, Time: 20.24 seconds
Sample 69, Group score: 0, Time: 39.762 seconds
Sample 73, Group score: 0, Time: 25.236 seconds
Sample 74, Group score: 1, Time: 34.718 seconds
Sample 83, Group score: 0, Time: 16.763 seconds
Sample 87, Group score: 0, Time: 43.235 seconds
Sample 91, Group score: 1, Time: 18.968 seconds
Sample 95, Group score: 0, Time: 41.033 seconds
Sample 102, Group score: 1, Time: 18.507 seconds
Sample 103, Group score: 0, Time: 41.496 seconds
Sample 105, Group score: 0, Time: 17.643 seconds
Sample 110, Group score: 0, Time: 42.362 seconds
Sample 119, Group score: 0, Time: 23.929 seconds
Sample 128, Group score: 0, Time: 36.072 seconds
Sample 132, Group score: 0, Time: 21.587 seconds
Sample 142, Group score: 1, Time: 38.413 seconds
Sample 150, Group score: 0, Time: 17.431 seconds
Sample 153, Group score: 0, Time: 42.568 seconds
Sample 157, Group score: 1, Time: 24.727 seconds
Sample 158, Group score: 1, Time: 26.671 seconds
Sample 165, Group score: 1, Time: 59.985 seconds
Sample 172, Group score: 1, Time: 14.479 seconds
Sample 180, Group score: 0, Time: 45.514 seconds
Sample 183, Group score: 0, Time: 21.695 seconds
Sample 213, Group score: 0, Time: 38.305 seconds
Sample 214, Group score: 0, Time: 27.321 seconds
Sample 245, Group score: 0, Time: 32.678 seconds
Sample 259, Group score: 0, Time: 20.73 seconds
Sample 265, Group score: 0, Time: 39.267 seconds
Sample 268, Group score: 0, Time: 18.594 seconds
Sample 276, Group score: 0, Time: 41.405 seconds
Sample 277, Group score: 0, Time: 21.579 seconds
Sample 297, Group score: 0, Time: 38.42 seconds
Sample 311, Group score: 0, Time: 21.818 seconds
Sample 313, Group score: 1, Time: 38.182 seconds
Sample 351, Group score: 0, Time: 25.46 seconds
Sample 361, Group score: 0, Time: 22.751 seconds
Sample 375, Group score: 0, Time: 60.001 seconds
Sample 379, Group score: 0, Time: 28.035 seconds
Sample 383, Group score: 0, Time: 31.96 seconds
Sample 387, Group score: 0, Time: 31.516 seconds
Sample 389, Group score: 0, Time: 28.483 seconds
Sample 393, Group score: 0, Time: 32.585 seconds
Sample 4, Group score: 1, Time: 20.765 seconds
Sample 5, Group score: 1, Time: 39.217 seconds
Sample 8, Group score: 1, Time: 21.245 seconds
Sample 9, Group score: 0, Time: 38.754 seconds
Sample 11, Group score: 1, Time: 26.436 seconds
Sample 13, Group score: 0, Time: 33.563 seconds
Sample 16, Group score: 0, Time: 22.209 seconds
Sample 17, Group score: 0, Time: 37.789 seconds
Sample 19, Group score: 1, Time: 17.585 seconds
Sample 22, Group score: 0, Time: 42.415 seconds
Sample 23, Group score: 0, Time: 21.223 seconds
Sample 25, Group score: 0, Time: 38.775 seconds
Sample 27, Group score: 0, Time: 28.663 seconds
Sample 28, Group score: 0, Time: 31.337 seconds
Sample 29, Group score: 0, Time: 30.187 seconds
Sample 31, Group score: 0, Time: 29.801 seconds
Sample 33, Group score: 0, Time: 22.104 seconds
Sample 34, Group score: 0, Time: 37.899 seconds
Sample 35, Group score: 1, Time: 19.593 seconds
Sample 36, Group score: 1, Time: 40.409 seconds
Sample 42, Group score: 0, Time: 29.221 seconds
Sample 46, Group score: 0, Time: 30.777 seconds
Sample 48, Group score: 0, Time: 28.214 seconds
Sample 49, Group score: 0, Time: 31.785 seconds
Sample 50, Group score: 0, Time: 48.862 seconds
Sample 58, Group score: 0, Time: 34.689 seconds
Sample 59, Group score: 0, Time: 60.004 seconds
Sample 62, Group score: 0, Time: 29.582 seconds
Sample 67, Group score: 0, Time: 30.418 seconds
Sample 72, Group score: 0, Time: 17.917 seconds
Sample 75, Group score: 0, Time: 42.082 seconds
Sample 76, Group score: 0, Time: 30.592 seconds
Sample 77, Group score: 0, Time: 29.405 seconds
Sample 78, Group score: 0, Time: 20.732 seconds
Sample 80, Group score: 0, Time: 39.27 seconds
Sample 81, Group score: 0, Time: 15.828 seconds
Sample 84, Group score: 0, Time: 44.169 seconds
Sample 85, Group score: 0, Time: 19.643 seconds
Sample 86, Group score: 0, Time: 40.36 seconds
Sample 90, Group score: 0, Time: 29.784 seconds
Sample 96, Group score: 0, Time: 30.212 seconds
Sample 98, Group score: 0, Time: 30.774 seconds
Sample 104, Group score: 1, Time: 29.226 seconds
Sample 109, Group score: 1, Time: 14.779 seconds
Sample 112, Group score: 0, Time: 45.225 seconds
Sample 113, Group score: 0, Time: 27.089 seconds
Sample 114, Group score: 1, Time: 32.91 seconds
Sample 115, Group score: 0, Time: 14.995 seconds
Sample 123, Group score: 1, Time: 36.792 seconds
Sample 129, Group score: 0, Time: 22.21 seconds
Sample 130, Group score: 0, Time: 37.788 seconds
Sample 131, Group score: 0, Time: 34.385 seconds
Sample 135, Group score: 0, Time: 25.614 seconds
Sample 136, Group score: 0, Time: 19.322 seconds
Sample 137, Group score: 0, Time: 40.679 seconds
Sample 138, Group score: 0, Time: 17.447 seconds
Sample 139, Group score: 0, Time: 42.554 seconds
Sample 141, Group score: 1, Time: 35.395 seconds
Sample 143, Group score: 0, Time: 24.605 seconds
Sample 147, Group score: 1, Time: 17.136 seconds
Sample 151, Group score: 1, Time: 42.865 seconds
Sample 152, Group score: 0, Time: 26.857 seconds
Sample 162, Group score: 0, Time: 33.144 seconds
Sample 166, Group score: 0, Time: 26.568 seconds
Sample 167, Group score: 1, Time: 33.433 seconds
Sample 169, Group score: 0, Time: 33.743 seconds
Sample 173, Group score: 1, Time: 26.253 seconds
Sample 174, Group score: 0, Time: 28.623 seconds
Sample 175, Group score: 1, Time: 31.375 seconds
Sample 178, Group score: 0, Time: 22.31 seconds
Sample 181, Group score: 0, Time: 37.688 seconds
Sample 187, Group score: 0, Time: 15.061 seconds
Sample 192, Group score: 0, Time: 29.009 seconds
Sample 193, Group score: 0, Time: 15.029 seconds
Sample 194, Group score: 0, Time: 44.973 seconds
Sample 197, Group score: 0, Time: 27.37 seconds
Sample 199, Group score: 1, Time: 22.557 seconds
Sample 206, Group score: 0, Time: 60.003 seconds
Sample 207, Group score: 0, Time: 30.385 seconds
Sample 208, Group score: 0, Time: 29.612 seconds
Sample 210, Group score: 0, Time: 15.748 seconds
Sample 212, Group score: 0, Time: 44.256 seconds
Sample 216, Group score: 1, Time: 32.043 seconds
Sample 226, Group score: 0, Time: 33.082 seconds
Sample 229, Group score: 0, Time: 60.008 seconds
Sample 232, Group score: 0, Time: 20.344 seconds
Sample 235, Group score: 0, Time: 24.49 seconds
Sample 236, Group score: 0, Time: 60.005 seconds
Sample 248, Group score: 0, Time: 24.362 seconds
Sample 251, Group score: 0, Time: 59.995 seconds
Sample 252, Group score: 0, Time: 20.651 seconds
Sample 253, Group score: 0, Time: 39.347 seconds
Sample 255, Group score: 0, Time: 28.325 seconds
Sample 273, Group score: 0, Time: 21.895 seconds
Sample 280, Group score: 1, Time: 59.998 seconds
Sample 281, Group score: 0, Time: 24.041 seconds
Sample 282, Group score: 0, Time: 35.955 seconds
Sample 286, Group score: 0, Time: 28.284 seconds
Sample 290, Group score: 0, Time: 31.713 seconds
Sample 292, Group score: 0, Time: 17.275 seconds
Sample 294, Group score: 0, Time: 42.725 seconds
Sample 300, Group score: 0, Time: 30.164 seconds
Sample 304, Group score: 0, Time: 29.836 seconds
Sample 306, Group score: 0, Time: 23.499 seconds
Sample 309, Group score: 1, Time: 36.501 seconds
Sample 310, Group score: 0, Time: 29.323 seconds
Sample 316, Group score: 0, Time: 35.708 seconds
Sample 330, Group score: 0, Time: 49.052 seconds
Sample 331, Group score: 0, Time: 33.119 seconds
Sample 332, Group score: 1, Time: 32.36 seconds
Sample 333, Group score: 0, Time: 60.005 seconds
Sample 337, Group score: 1, Time: 15.234 seconds
