Sample 0, Group score: 1, Time: 14.367 seconds
Sample 1, Group score: 0, Time: 11.584 seconds
Sample 2, Group score: 0, Time: 17.056 seconds
Sample 3, Group score: 1, Time: 17.624 seconds
Sample 4, Group score: 1, Time: 19.668 seconds
Sample 5, Group score: 1, Time: 16.028 seconds
Sample 6, Group score: 0, Time: 21.121 seconds
Sample 7, Group score: 0, Time: 17.131 seconds
Sample 8, Group score: 1, Time: 23.01 seconds
Sample 9, Group score: 1, Time: 41.865 seconds
Sample 10, Group score: 1, Time: 21.755 seconds
Sample 11, Group score: 1, Time: 21.843 seconds
Sample 12, Group score: 1, Time: 22.783 seconds
Sample 13, Group score: 0, Time: 14.983 seconds
Sample 14, Group score: 1, Time: 17.808 seconds
Sample 15, Group score: 0, Time: 40.682 seconds
Sample 16, Group score: 1, Time: 17.267 seconds
Sample 17, Group score: 1, Time: 12.952 seconds
Sample 18, Group score: 1, Time: 35.216 seconds
Sample 19, Group score: 0, Time: 14.512 seconds
Sample 20, Group score: 0, Time: 38.707 seconds
Sample 21, Group score: 1, Time: 24.25 seconds
Sample 22, Group score: 0, Time: 18.769 seconds
Sample 23, Group score: 0, Time: 24.525 seconds
Sample 24, Group score: 0, Time: 28.408 seconds
Sample 25, Group score: 1, Time: 26.738 seconds
Sample 26, Group score: 1, Time: 26.571 seconds
Sample 27, Group score: 1, Time: 17.637 seconds
Sample 28, Group score: 0, Time: 17.057 seconds
Sample 29, Group score: 0, Time: 19.299 seconds
Sample 30, Group score: 0, Time: 19.382 seconds
Sample 31, Group score: 0, Time: 16.414 seconds
Sample 32, Group score: 0, Time: 18.654 seconds
Sample 33, Group score: 0, Time: 33.778 seconds
Sample 34, Group score: 1, Time: 17.731 seconds
Sample 35, Group score: 1, Time: 20.798 seconds
Sample 36, Group score: 1, Time: 17.741 seconds
Sample 37, Group score: 0, Time: 22.021 seconds
Sample 38, Group score: 0, Time: 31.417 seconds
Sample 39, Group score: 1, Time: 21.462 seconds
Sample 40, Group score: 0, Time: 28.081 seconds
Sample 41, Group score: 0, Time: 20.47 seconds
Sample 42, Group score: 0, Time: 31.888 seconds
Sample 43, Group score: 0, Time: 25.897 seconds
Sample 44, Group score: 0, Time: 47.459 seconds
Sample 45, Group score: 1, Time: 31.925 seconds
Sample 46, Group score: 0, Time: 26.167 seconds
Sample 47, Group score: 0, Time: 26.316 seconds
Sample 48, Group score: 0, Time: 18.239 seconds
Sample 49, Group score: 0, Time: 19.838 seconds
Sample 50, Group score: 0, Time: 18.504 seconds
Sample 51, Group score: 0, Time: 34.632 seconds
Sample 52, Group score: 0, Time: 15.434 seconds
Sample 53, Group score: 0, Time: 21.584 seconds
Sample 54, Group score: 0, Time: 20.983 seconds
