Sample 15, Group score: 0, Time: 35.918 seconds
Sample 24, Group score: 0, Time: 31.103 seconds
Sample 43, Group score: 0, Time: 60.003 seconds
Sample 55, Group score: 0, Time: 28.199 seconds
Sample 57, Group score: 0, Time: 31.801 seconds
Sample 63, Group score: 0, Time: 63.704 seconds
Sample 65, Group score: 1, Time: 60.003 seconds
Sample 69, Group score: 0, Time: 21.127 seconds
Sample 73, Group score: 1, Time: 38.875 seconds
Sample 74, Group score: 1, Time: 27.245 seconds
Sample 83, Group score: 0, Time: 38.42 seconds
Sample 87, Group score: 0, Time: 60.0 seconds
Sample 91, Group score: 0, Time: 34.894 seconds
Sample 95, Group score: 0, Time: 40.493 seconds
Sample 102, Group score: 1, Time: 60.002 seconds
Sample 103, Group score: 1, Time: 27.017 seconds
Sample 105, Group score: 1, Time: 32.982 seconds
Sample 110, Group score: 0, Time: 22.773 seconds
Sample 119, Group score: 0, Time: 37.227 seconds
Sample 128, Group score: 0, Time: 43.39 seconds
Sample 132, Group score: 0, Time: 21.872 seconds
Sample 142, Group score: 1, Time: 60.004 seconds
Sample 150, Group score: 0, Time: 35.1 seconds
Sample 158, Group score: 1, Time: 18.799 seconds
Sample 165, Group score: 0, Time: 60.004 seconds
Sample 172, Group score: 1, Time: 17.865 seconds
Sample 180, Group score: 0, Time: 42.135 seconds
Sample 183, Group score: 0, Time: 24.434 seconds
Sample 213, Group score: 1, Time: 35.563 seconds
Sample 214, Group score: 0, Time: 29.636 seconds
Sample 259, Group score: 0, Time: 24.059 seconds
Sample 265, Group score: 1, Time: 39.764 seconds
Sample 268, Group score: 0, Time: 28.753 seconds
Sample 276, Group score: 0, Time: 60.002 seconds
Sample 277, Group score: 0, Time: 29.209 seconds
Sample 297, Group score: 0, Time: 30.789 seconds
Sample 311, Group score: 0, Time: 22.341 seconds
Sample 313, Group score: 0, Time: 37.662 seconds
Sample 339, Group score: 0, Time: 18.683 seconds
Sample 351, Group score: 0, Time: 41.316 seconds
Sample 361, Group score: 0, Time: 31.604 seconds
Sample 375, Group score: 0, Time: 28.402 seconds
Sample 379, Group score: 0, Time: 35.22 seconds
Sample 383, Group score: 0, Time: 24.787 seconds
Sample 387, Group score: 0, Time: 42.219 seconds
Sample 389, Group score: 0, Time: 35.255 seconds
Sample 393, Group score: 0, Time: 60.007 seconds
Sample 153, Group score: 0, Time: 27.641 seconds
Sample 157, Group score: 0, Time: 42.845 seconds
Sample 245, Group score: 1, Time: 60.001 seconds
