Sample 0, Group score: 0, Time: 21.81 seconds
Sample 1, Group score: 0, Time: 28.61 seconds
Sample 2, Group score: 0, Time: 23.027 seconds
Sample 3, Group score: 0, Time: 34.155 seconds
Sample 4, Group score: 0, Time: 20.982 seconds
Sample 5, Group score: 1, Time: 22.424 seconds
Sample 6, Group score: 0, Time: 22.682 seconds
Sample 7, Group score: 0, Time: 18.33 seconds
Sample 8, Group score: 1, Time: 35.65 seconds
Sample 9, Group score: 1, Time: 32.055 seconds
Sample 10, Group score: 1, Time: 30.873 seconds
Sample 11, Group score: 1, Time: 25.689 seconds
Sample 12, Group score: 0, Time: 21.265 seconds
Sample 13, Group score: 0, Time: 35.487 seconds
Sample 14, Group score: 1, Time: 18.877 seconds
Sample 15, Group score: 0, Time: 27.147 seconds
Sample 16, Group score: 0, Time: 15.981 seconds
Sample 17, Group score: 1, Time: 23.079 seconds
Sample 18, Group score: 0, Time: 23.202 seconds
Sample 19, Group score: 0, Time: 17.869 seconds
Sample 20, Group score: 0, Time: 23.369 seconds
Sample 21, Group score: 1, Time: 24.497 seconds
Sample 22, Group score: 1, Time: 30.529 seconds
Sample 23, Group score: 0, Time: 39.35 seconds
Sample 24, Group score: 1, Time: 45.037 seconds
Sample 25, Group score: 1, Time: 33.435 seconds
Sample 26, Group score: 0, Time: 37.815 seconds
Sample 27, Group score: 1, Time: 39.457 seconds
Sample 28, Group score: 1, Time: 28.432 seconds
Sample 29, Group score: 1, Time: 21.753 seconds
Sample 30, Group score: 1, Time: 27.537 seconds
Sample 31, Group score: 0, Time: 19.89 seconds
Sample 32, Group score: 1, Time: 32.973 seconds
Sample 33, Group score: 1, Time: 18.645 seconds
Sample 34, Group score: 0, Time: 35.824 seconds
Sample 35, Group score: 0, Time: 22.09 seconds
Sample 36, Group score: 1, Time: 20.452 seconds
Sample 37, Group score: 0, Time: 29.202 seconds
Sample 38, Group score: 0, Time: 23.552 seconds
Sample 39, Group score: 0, Time: 33.879 seconds
Sample 40, Group score: 0, Time: 23.71 seconds
Sample 41, Group score: 0, Time: 35.605 seconds
Sample 42, Group score: 0, Time: 20.849 seconds
Sample 43, Group score: 0, Time: 31.75 seconds
Sample 44, Group score: 0, Time: 46.794 seconds
Sample 45, Group score: 1, Time: 26.451 seconds
Sample 46, Group score: 1, Time: 36.046 seconds
Sample 47, Group score: 1, Time: 26.631 seconds
Sample 48, Group score: 0, Time: 24.88 seconds
Sample 49, Group score: 1, Time: 29.326 seconds
Sample 50, Group score: 0, Time: 29.78 seconds
Sample 51, Group score: 1, Time: 23.198 seconds
Sample 52, Group score: 0, Time: 37.55 seconds
Sample 53, Group score: 0, Time: 26.824 seconds
Sample 54, Group score: 0, Time: 20.55 seconds
Sample 55, Group score: 0, Time: 27.582 seconds
Sample 56, Group score: 1, Time: 25.36 seconds
Sample 57, Group score: 1, Time: 33.278 seconds
Sample 58, Group score: 0, Time: 21.817 seconds
Sample 59, Group score: 0, Time: 34.416 seconds
Sample 60, Group score: 0, Time: 23.069 seconds
Sample 61, Group score: 1, Time: 34.606 seconds
Sample 62, Group score: 0, Time: 28.418 seconds
Sample 63, Group score: 1, Time: 17.909 seconds
Sample 64, Group score: 0, Time: 24.179 seconds
Sample 65, Group score: 1, Time: 31.109 seconds
Sample 66, Group score: 0, Time: 22.419 seconds
Sample 67, Group score: 0, Time: 23.424 seconds
Sample 68, Group score: 0, Time: 34.57 seconds
Sample 69, Group score: 0, Time: 58.21 seconds
Sample 70, Group score: 0, Time: 21.823 seconds
Sample 71, Group score: 0, Time: 45.606 seconds
Sample 72, Group score: 1, Time: 42.616 seconds
Sample 73, Group score: 1, Time: 22.606 seconds
Sample 74, Group score: 1, Time: 27.783 seconds
Sample 75, Group score: 0, Time: 34.426 seconds
Sample 76, Group score: 1, Time: 36.932 seconds
Sample 77, Group score: 1, Time: 53.808 seconds
Sample 78, Group score: 0, Time: 29.14 seconds
Sample 79, Group score: 0, Time: 24.897 seconds
Sample 80, Group score: 0, Time: 26.899 seconds
Sample 81, Group score: 0, Time: 20.449 seconds
Sample 82, Group score: 0, Time: 41.164 seconds
Sample 83, Group score: 0, Time: 34.866 seconds
Sample 84, Group score: 1, Time: 34.138 seconds
Sample 85, Group score: 0, Time: 20.259 seconds
Sample 86, Group score: 1, Time: 29.413 seconds
