Sample 0, Group score: 0, Time: 33.037 seconds
Sample 1, Group score: 0, Time: 39.904 seconds
Sample 2, Group score: 0, Time: 29.692 seconds
Sample 3, Group score: 0, Time: 33.802 seconds
Sample 4, Group score: 0, Time: 34.381 seconds
Sample 5, Group score: 1, Time: 40.358 seconds
Sample 6, Group score: 0, Time: 40.239 seconds
Sample 7, Group score: 1, Time: 25.935 seconds
Sample 8, Group score: 0, Time: 40.002 seconds
Sample 9, Group score: 1, Time: 32.988 seconds
Sample 10, Group score: 1, Time: 39.775 seconds
Sample 11, Group score: 1, Time: 82.318 seconds
Sample 12, Group score: 1, Time: 27.249 seconds
Sample 13, Group score: 1, Time: 56.586 seconds
Sample 14, Group score: 1, Time: 22.013 seconds
Sample 15, Group score: 0, Time: 44.017 seconds
Sample 16, Group score: 0, Time: 18.813 seconds
Sample 17, Group score: 0, Time: 32.731 seconds
Sample 18, Group score: 1, Time: 38.416 seconds
Sample 19, Group score: 0, Time: 34.986 seconds
Sample 20, Group score: 0, Time: 39.241 seconds
Sample 21, Group score: 1, Time: 27.412 seconds
Sample 22, Group score: 1, Time: 53.38 seconds
Sample 23, Group score: 0, Time: 33.075 seconds
Sample 24, Group score: 0, Time: 30.808 seconds
Sample 25, Group score: 0, Time: 40.024 seconds
Sample 26, Group score: 1, Time: 48.823 seconds
Sample 27, Group score: 0, Time: 57.537 seconds
Sample 28, Group score: 0, Time: 30.368 seconds
Sample 29, Group score: 1, Time: 28.311 seconds
Sample 30, Group score: 0, Time: 31.155 seconds
Sample 31, Group score: 0, Time: 37.5 seconds
Sample 32, Group score: 0, Time: 26.655 seconds
Sample 33, Group score: 0, Time: 23.005 seconds
Sample 34, Group score: 0, Time: 33.505 seconds
Sample 35, Group score: 0, Time: 39.333 seconds
Sample 36, Group score: 1, Time: 25.23 seconds
Sample 37, Group score: 0, Time: 30.414 seconds
Sample 38, Group score: 0, Time: 33.549 seconds
Sample 39, Group score: 0, Time: 37.204 seconds
Sample 40, Group score: 1, Time: 40.017 seconds
Sample 41, Group score: 0, Time: 37.475 seconds
Sample 42, Group score: 0, Time: 36.576 seconds
Sample 43, Group score: 1, Time: 42.67 seconds
Sample 44, Group score: 0, Time: 42.75 seconds
Sample 45, Group score: 1, Time: 37.548 seconds
Sample 46, Group score: 0, Time: 32.214 seconds
Sample 47, Group score: 1, Time: 43.487 seconds
Sample 48, Group score: 1, Time: 34.182 seconds
Sample 49, Group score: 0, Time: 37.992 seconds
Sample 50, Group score: 0, Time: 37.55 seconds
Sample 51, Group score: 1, Time: 40.888 seconds
Sample 52, Group score: 0, Time: 35.98 seconds
Sample 53, Group score: 0, Time: 34.683 seconds
Sample 54, Group score: 0, Time: 28.752 seconds
Sample 55, Group score: 0, Time: 29.489 seconds
Sample 56, Group score: 1, Time: 30.871 seconds
Sample 57, Group score: 0, Time: 39.446 seconds
Sample 58, Group score: 0, Time: 34.507 seconds
Sample 60, Group score: 0, Time: 45.787 seconds
Sample 61, Group score: 1, Time: 44.923 seconds
Sample 62, Group score: 0, Time: 38.972 seconds
Sample 63, Group score: 1, Time: 25.824 seconds
Sample 64, Group score: 0, Time: 30.885 seconds
Sample 65, Group score: 1, Time: 37.676 seconds
Sample 66, Group score: 0, Time: 44.429 seconds
Sample 67, Group score: 0, Time: 38.019 seconds
Sample 68, Group score: 1, Time: 48.238 seconds
Sample 69, Group score: 0, Time: 31.707 seconds
Sample 70, Group score: 0, Time: 42.462 seconds
Sample 71, Group score: 0, Time: 35.65 seconds
Sample 72, Group score: 1, Time: 32.268 seconds
Sample 73, Group score: 1, Time: 30.408 seconds
Sample 74, Group score: 1, Time: 40.6 seconds
Sample 75, Group score: 0, Time: 34.389 seconds
Sample 76, Group score: 0, Time: 35.294 seconds
Sample 77, Group score: 1, Time: 34.807 seconds
Sample 78, Group score: 0, Time: 41.68 seconds
Sample 79, Group score: 0, Time: 30.005 seconds
Sample 80, Group score: 0, Time: 48.059 seconds
Sample 81, Group score: 0, Time: 35.319 seconds
Sample 82, Group score: 1, Time: 49.029 seconds
Sample 83, Group score: 0, Time: 57.06 seconds
Sample 84, Group score: 0, Time: 49.274 seconds
Sample 85, Group score: 0, Time: 37.279 seconds
Sample 86, Group score: 1, Time: 53.771 seconds
Sample 87, Group score: 0, Time: 34.137 seconds
Sample 88, Group score: 1, Time: 45.104 seconds
Sample 89, Group score: 0, Time: 28.553 seconds
Sample 90, Group score: 0, Time: 33.126 seconds
Sample 91, Group score: 1, Time: 27.587 seconds
Sample 92, Group score: 1, Time: 35.429 seconds
Sample 93, Group score: 0, Time: 39.586 seconds
Sample 94, Group score: 1, Time: 60.056 seconds
Sample 95, Group score: 1, Time: 24.406 seconds
Sample 96, Group score: 0, Time: 34.399 seconds
Sample 97, Group score: 1, Time: 35.374 seconds
Sample 98, Group score: 0, Time: 31.219 seconds
Sample 99, Group score: 1, Time: 30.359 seconds
Sample 100, Group score: 0, Time: 36.047 seconds
Sample 101, Group score: 0, Time: 42.656 seconds
Sample 102, Group score: 1, Time: 43.998 seconds
Sample 103, Group score: 0, Time: 52.569 seconds
Sample 104, Group score: 1, Time: 58.574 seconds
Sample 105, Group score: 0, Time: 38.561 seconds
Sample 106, Group score: 1, Time: 32.245 seconds
Sample 107, Group score: 1, Time: 22.915 seconds
Sample 108, Group score: 0, Time: 28.123 seconds
Sample 109, Group score: 1, Time: 22.992 seconds
Sample 110, Group score: 0, Time: 43.556 seconds
Sample 111, Group score: 1, Time: 37.845 seconds
Sample 112, Group score: 1, Time: 31.003 seconds
Sample 113, Group score: 0, Time: 26.649 seconds
Sample 114, Group score: 1, Time: 25.2 seconds
Sample 115, Group score: 1, Time: 58.372 seconds
Sample 116, Group score: 1, Time: 30.728 seconds
Sample 117, Group score: 0, Time: 30.961 seconds
Sample 118, Group score: 0, Time: 43.242 seconds
Sample 119, Group score: 0, Time: 43.52 seconds
Sample 120, Group score: 0, Time: 39.214 seconds
Sample 121, Group score: 1, Time: 31.865 seconds
Sample 122, Group score: 1, Time: 27.491 seconds
Sample 123, Group score: 1, Time: 45.055 seconds
Sample 124, Group score: 1, Time: 36.282 seconds
Sample 125, Group score: 0, Time: 41.462 seconds
Sample 126, Group score: 0, Time: 68.929 seconds
Sample 127, Group score: 1, Time: 27.228 seconds
Sample 128, Group score: 0, Time: 27.984 seconds
Sample 129, Group score: 1, Time: 46.347 seconds
Sample 130, Group score: 0, Time: 42.392 seconds
Sample 131, Group score: 0, Time: 34.044 seconds
Sample 132, Group score: 0, Time: 28.608 seconds
Sample 133, Group score: 0, Time: 25.178 seconds
Sample 134, Group score: 1, Time: 44.192 seconds
Sample 135, Group score: 0, Time: 28.976 seconds
Sample 136, Group score: 1, Time: 34.49 seconds
Sample 137, Group score: 0, Time: 56.642 seconds
Sample 138, Group score: 1, Time: 30.655 seconds
Sample 139, Group score: 0, Time: 27.911 seconds
Sample 140, Group score: 1, Time: 39.591 seconds
Sample 141, Group score: 0, Time: 36.911 seconds
Sample 142, Group score: 1, Time: 43.051 seconds
Sample 143, Group score: 0, Time: 34.598 seconds
Sample 144, Group score: 1, Time: 49.222 seconds
Sample 145, Group score: 0, Time: 44.935 seconds
Sample 146, Group score: 1, Time: 34.789 seconds
Sample 147, Group score: 0, Time: 34.654 seconds
Sample 148, Group score: 1, Time: 35.034 seconds
Sample 149, Group score: 0, Time: 50.347 seconds
Sample 150, Group score: 0, Time: 33.723 seconds
Sample 151, Group score: 0, Time: 57.302 seconds
Sample 152, Group score: 0, Time: 41.462 seconds
Sample 153, Group score: 0, Time: 48.847 seconds
Sample 154, Group score: 1, Time: 38.155 seconds
Sample 155, Group score: 1, Time: 38.162 seconds
Sample 156, Group score: 0, Time: 42.374 seconds
Sample 157, Group score: 1, Time: 36.698 seconds
Sample 158, Group score: 1, Time: 40.371 seconds
Sample 159, Group score: 0, Time: 46.17 seconds
Sample 160, Group score: 1, Time: 60.391 seconds
Sample 161, Group score: 0, Time: 41.906 seconds
Sample 162, Group score: 1, Time: 37.128 seconds
Sample 163, Group score: 1, Time: 35.039 seconds
Sample 164, Group score: 0, Time: 30.939 seconds
Sample 165, Group score: 0, Time: 41.408 seconds
Sample 166, Group score: 0, Time: 58.825 seconds
Sample 167, Group score: 1, Time: 35.749 seconds
Sample 168, Group score: 0, Time: 37.144 seconds
Sample 169, Group score: 0, Time: 37.04 seconds
Sample 170, Group score: 1, Time: 30.836 seconds
Sample 171, Group score: 1, Time: 48.191 seconds
Sample 172, Group score: 1, Time: 27.946 seconds
Sample 173, Group score: 0, Time: 38.771 seconds
Sample 174, Group score: 0, Time: 31.952 seconds
Sample 175, Group score: 0, Time: 39.774 seconds
Sample 176, Group score: 0, Time: 47.489 seconds
Sample 177, Group score: 0, Time: 36.205 seconds
Sample 178, Group score: 0, Time: 43.008 seconds
Sample 179, Group score: 1, Time: 30.584 seconds
Sample 180, Group score: 0, Time: 48.586 seconds
Sample 181, Group score: 0, Time: 43.566 seconds
Sample 182, Group score: 1, Time: 52.262 seconds
Sample 183, Group score: 0, Time: 25.642 seconds
Sample 184, Group score: 0, Time: 23.063 seconds
Sample 185, Group score: 0, Time: 29.246 seconds
Sample 186, Group score: 0, Time: 26.222 seconds
Sample 187, Group score: 0, Time: 26.27 seconds
Sample 188, Group score: 0, Time: 23.602 seconds
Sample 189, Group score: 0, Time: 24.905 seconds
Sample 190, Group score: 0, Time: 22.27 seconds
Sample 191, Group score: 0, Time: 23.072 seconds
Sample 192, Group score: 0, Time: 26.321 seconds
Sample 193, Group score: 0, Time: 30.731 seconds
Sample 194, Group score: 1, Time: 34.179 seconds
Sample 195, Group score: 1, Time: 25.565 seconds
Sample 196, Group score: 0, Time: 26.869 seconds
Sample 197, Group score: 0, Time: 28.743 seconds
Sample 198, Group score: 1, Time: 28.313 seconds
Sample 199, Group score: 1, Time: 29.614 seconds
Sample 200, Group score: 0, Time: 30.419 seconds
Sample 201, Group score: 0, Time: 56.088 seconds
Sample 202, Group score: 1, Time: 29.634 seconds
Sample 203, Group score: 0, Time: 32.498 seconds
Sample 204, Group score: 1, Time: 30.806 seconds
Sample 205, Group score: 1, Time: 21.804 seconds
Sample 206, Group score: 1, Time: 43.049 seconds
Sample 207, Group score: 0, Time: 27.417 seconds
Sample 208, Group score: 0, Time: 23.319 seconds
Sample 209, Group score: 0, Time: 22.841 seconds
Sample 210, Group score: 0, Time: 23.781 seconds
Sample 211, Group score: 0, Time: 22.665 seconds
Sample 212, Group score: 0, Time: 40.619 seconds
Sample 213, Group score: 0, Time: 28.923 seconds
Sample 214, Group score: 0, Time: 30.402 seconds
Sample 215, Group score: 0, Time: 34.05 seconds
