Sample 0, Group score: 0, Time: 30.19 seconds
Sample 1, Group score: 0, Time: 20.754 seconds
Sample 2, Group score: 1, Time: 14.29 seconds
Sample 3, Group score: 0, Time: 23.768 seconds
Sample 4, Group score: 0, Time: 24.853 seconds
Sample 5, Group score: 1, Time: 20.177 seconds
Sample 6, Group score: 0, Time: 24.276 seconds
Sample 7, Group score: 0, Time: 15.531 seconds
Sample 8, Group score: 0, Time: 24.138 seconds
Sample 9, Group score: 1, Time: 23.043 seconds
Sample 10, Group score: 0, Time: 19.401 seconds
Sample 11, Group score: 1, Time: 33.447 seconds
Sample 12, Group score: 0, Time: 28.52 seconds
Sample 13, Group score: 0, Time: 34.553 seconds
Sample 14, Group score: 1, Time: 26.696 seconds
Sample 15, Group score: 0, Time: 29.612 seconds
Sample 16, Group score: 0, Time: 25.649 seconds
Sample 17, Group score: 1, Time: 41.937 seconds
Sample 18, Group score: 0, Time: 24.439 seconds
Sample 19, Group score: 1, Time: 27.324 seconds
Sample 20, Group score: 0, Time: 31.916 seconds
Sample 21, Group score: 1, Time: 37.233 seconds
Sample 22, Group score: 0, Time: 31.572 seconds
Sample 23, Group score: 0, Time: 30.344 seconds
Sample 24, Group score: 0, Time: 28.771 seconds
Sample 25, Group score: 0, Time: 44.592 seconds
Sample 26, Group score: 0, Time: 41.955 seconds
Sample 27, Group score: 0, Time: 27.812 seconds
Sample 28, Group score: 0, Time: 24.357 seconds
Sample 29, Group score: 1, Time: 17.589 seconds
Sample 30, Group score: 1, Time: 35.089 seconds
Sample 31, Group score: 0, Time: 40.061 seconds
Sample 32, Group score: 1, Time: 21.808 seconds
Sample 33, Group score: 0, Time: 39.36 seconds
Sample 34, Group score: 1, Time: 33.104 seconds
Sample 35, Group score: 0, Time: 28.661 seconds
Sample 36, Group score: 1, Time: 15.049 seconds
Sample 37, Group score: 1, Time: 39.703 seconds
Sample 38, Group score: 0, Time: 32.42 seconds
Sample 39, Group score: 0, Time: 28.829 seconds
Sample 40, Group score: 0, Time: 32.013 seconds
Sample 41, Group score: 0, Time: 27.681 seconds
Sample 42, Group score: 0, Time: 32.501 seconds
Sample 43, Group score: 0, Time: 28.762 seconds
Sample 44, Group score: 0, Time: 37.981 seconds
Sample 45, Group score: 1, Time: 27.403 seconds
Sample 46, Group score: 0, Time: 38.475 seconds
Sample 47, Group score: 0, Time: 18.815 seconds
Sample 48, Group score: 0, Time: 29.482 seconds
Sample 49, Group score: 0, Time: 38.314 seconds
Sample 50, Group score: 0, Time: 23.624 seconds
Sample 51, Group score: 1, Time: 27.422 seconds
Sample 52, Group score: 0, Time: 23.394 seconds
Sample 53, Group score: 0, Time: 22.629 seconds
Sample 54, Group score: 0, Time: 22.375 seconds
Sample 55, Group score: 0, Time: 28.131 seconds
Sample 56, Group score: 0, Time: 32.662 seconds
Sample 57, Group score: 1, Time: 21.6 seconds
