Sample 15, Group score: 0, Time: 25.244 seconds
Sample 24, Group score: 0, Time: 34.755 seconds
Sample 43, Group score: 0, Time: 45.969 seconds
Sample 55, Group score: 0, Time: 34.178 seconds
Sample 57, Group score: 1, Time: 60.002 seconds
Sample 63, Group score: 1, Time: 25.406 seconds
Sample 65, Group score: 0, Time: 34.595 seconds
Sample 69, Group score: 1, Time: 24.56 seconds
Sample 73, Group score: 0, Time: 36.701 seconds
Sample 74, Group score: 1, Time: 196.991 seconds
Sample 83, Group score: 0, Time: 18.071 seconds
Sample 87, Group score: 0, Time: 41.901 seconds
Sample 91, Group score: 1, Time: 21.682 seconds
Sample 95, Group score: 0, Time: 38.319 seconds
Sample 102, Group score: 0, Time: 33.248 seconds
Sample 103, Group score: 1, Time: 26.752 seconds
Sample 105, Group score: 0, Time: 15.294 seconds
Sample 110, Group score: 0, Time: 44.705 seconds
Sample 119, Group score: 0, Time: 18.272 seconds
Sample 128, Group score: 0, Time: 41.724 seconds
Sample 259, Group score: 0, Time: 36.275 seconds
Sample 132, Group score: 0, Time: 23.723 seconds
Sample 387, Group score: 0, Time: 22.392 seconds
Sample 389, Group score: 0, Time: 37.609 seconds
Sample 265, Group score: 1, Time: 27.838 seconds
Sample 393, Group score: 0, Time: 32.163 seconds
Sample 268, Group score: 0, Time: 34.435 seconds
Sample 142, Group score: 0, Time: 25.561 seconds
Sample 276, Group score: 0, Time: 20.029 seconds
Sample 153, Group score: 0, Time: 37.045 seconds
Sample 259, Group score: 0, Time: 36.275 seconds
Sample 132, Group score: 0, Time: 23.723 seconds
Sample 387, Group score: 0, Time: 22.392 seconds
Sample 389, Group score: 0, Time: 37.609 seconds
Sample 265, Group score: 1, Time: 27.838 seconds
Sample 393, Group score: 0, Time: 32.163 seconds
Sample 268, Group score: 0, Time: 34.435 seconds
Sample 142, Group score: 0, Time: 25.561 seconds
Sample 276, Group score: 0, Time: 20.029 seconds
Sample 153, Group score: 0, Time: 37.045 seconds
Sample 277, Group score: 0, Time: 18.93 seconds
Sample 150, Group score: 0, Time: 41.066 seconds
Sample 157, Group score: 1, Time: 20.064 seconds
Sample 158, Group score: 1, Time: 39.938 seconds
Sample 165, Group score: 0, Time: 16.85 seconds
Sample 297, Group score: 0, Time: 43.15 seconds
Sample 172, Group score: 1, Time: 32.864 seconds
Sample 180, Group score: 0, Time: 27.134 seconds
Sample 311, Group score: 0, Time: 21.949 seconds
Sample 183, Group score: 0, Time: 38.052 seconds
Sample 313, Group score: 1, Time: 31.058 seconds
Sample 339, Group score: 1, Time: 28.941 seconds
Sample 213, Group score: 0, Time: 29.665 seconds
Sample 214, Group score: 0, Time: 30.337 seconds
Sample 351, Group score: 0, Time: 19.499 seconds
Sample 361, Group score: 0, Time: 21.041 seconds
Sample 245, Group score: 1, Time: 38.959 seconds
Sample 375, Group score: 0, Time: 21.464 seconds
Sample 379, Group score: 0, Time: 38.536 seconds
Sample 383, Group score: 0, Time: 17.026 seconds
