Sample 15, Group score: 0, Time: 25.595 seconds
Sample 24, Group score: 0, Time: 34.407 seconds
Sample 43, Group score: 1, Time: 33.092 seconds
Sample 55, Group score: 0, Time: 32.127 seconds
Sample 57, Group score: 1, Time: 60.002 seconds
Sample 63, Group score: 1, Time: 33.722 seconds
Sample 65, Group score: 0, Time: 26.279 seconds
Sample 73, Group score: 0, Time: 39.686 seconds
Sample 74, Group score: 1, Time: 60.003 seconds
Sample 83, Group score: 0, Time: 18.91 seconds
Sample 87, Group score: 0, Time: 41.091 seconds
Sample 91, Group score: 1, Time: 26.474 seconds
Sample 95, Group score: 0, Time: 33.525 seconds
Sample 102, Group score: 0, Time: 27.884 seconds
Sample 103, Group score: 0, Time: 32.117 seconds
Sample 105, Group score: 1, Time: 28.636 seconds
Sample 110, Group score: 0, Time: 31.365 seconds
Sample 119, Group score: 0, Time: 20.516 seconds
Sample 128, Group score: 0, Time: 39.485 seconds
Sample 132, Group score: 0, Time: 46.192 seconds
Sample 142, Group score: 0, Time: 40.648 seconds
Sample 150, Group score: 0, Time: 60.004 seconds
Sample 153, Group score: 1, Time: 30.518 seconds
Sample 157, Group score: 0, Time: 29.482 seconds
Sample 158, Group score: 1, Time: 18.916 seconds
Sample 165, Group score: 0, Time: 41.085 seconds
Sample 172, Group score: 1, Time: 32.338 seconds
Sample 180, Group score: 0, Time: 35.243 seconds
Sample 183, Group score: 0, Time: 60.007 seconds
Sample 213, Group score: 0, Time: 41.343 seconds
Sample 214, Group score: 0, Time: 31.2 seconds
Sample 245, Group score: 0, Time: 60.002 seconds
Sample 259, Group score: 0, Time: 23.843 seconds
Sample 265, Group score: 0, Time: 36.157 seconds
Sample 268, Group score: 0, Time: 28.27 seconds
Sample 276, Group score: 0, Time: 31.732 seconds
Sample 297, Group score: 0, Time: 28.666 seconds
Sample 311, Group score: 0, Time: 27.922 seconds
Sample 313, Group score: 0, Time: 17.45 seconds
Sample 351, Group score: 0, Time: 29.983 seconds
Sample 361, Group score: 0, Time: 60.003 seconds
Sample 375, Group score: 0, Time: 27.462 seconds
Sample 379, Group score: 0, Time: 32.537 seconds
Sample 383, Group score: 0, Time: 31.866 seconds
Sample 387, Group score: 0, Time: 28.136 seconds
Sample 389, Group score: 0, Time: 25.362 seconds
Sample 393, Group score: 0, Time: 26.679 seconds
Sample 339, Group score: 1, Time: 16.553 seconds
Sample 69, Group score: 0, Time: 43.448 seconds
Sample 277, Group score: 0, Time: 38.999 seconds
