Sample 4, Group score: 0, Time: 24.375 seconds
Sample 5, Group score: 1, Time: 35.598 seconds
Sample 9, Group score: 1, Time: 35.648 seconds
Sample 11, Group score: 0, Time: 22.484 seconds
Sample 13, Group score: 0, Time: 30.709 seconds
Sample 15, Group score: 0, Time: 29.291 seconds
Sample 16, Group score: 0, Time: 20.267 seconds
Sample 17, Group score: 1, Time: 39.731 seconds
Sample 19, Group score: 1, Time: 22.814 seconds
Sample 22, Group score: 0, Time: 37.186 seconds
Sample 23, Group score: 1, Time: 27.936 seconds
Sample 24, Group score: 0, Time: 32.064 seconds
Sample 25, Group score: 0, Time: 27.085 seconds
Sample 27, Group score: 0, Time: 44.13 seconds
Sample 28, Group score: 1, Time: 60.0 seconds
Sample 29, Group score: 1, Time: 20.452 seconds
Sample 31, Group score: 0, Time: 39.544 seconds
Sample 33, Group score: 0, Time: 18.835 seconds
Sample 34, Group score: 0, Time: 41.17 seconds
Sample 35, Group score: 1, Time: 30.458 seconds
Sample 36, Group score: 1, Time: 29.539 seconds
Sample 42, Group score: 0, Time: 19.736 seconds
Sample 43, Group score: 1, Time: 40.266 seconds
Sample 46, Group score: 0, Time: 23.452 seconds
Sample 48, Group score: 1, Time: 23.106 seconds
Sample 49, Group score: 0, Time: 36.892 seconds
Sample 50, Group score: 0, Time: 29.641 seconds
Sample 55, Group score: 0, Time: 30.359 seconds
Sample 57, Group score: 1, Time: 22.204 seconds
Sample 58, Group score: 0, Time: 37.783 seconds
Sample 59, Group score: 0, Time: 19.758 seconds
Sample 62, Group score: 0, Time: 40.242 seconds
Sample 63, Group score: 1, Time: 23.157 seconds
Sample 65, Group score: 1, Time: 36.843 seconds
Sample 67, Group score: 0, Time: 21.004 seconds
Sample 69, Group score: 0, Time: 38.997 seconds
Sample 72, Group score: 1, Time: 20.204 seconds
Sample 73, Group score: 1, Time: 39.797 seconds
Sample 74, Group score: 1, Time: 20.226 seconds
Sample 75, Group score: 0, Time: 39.773 seconds
Sample 76, Group score: 0, Time: 27.328 seconds
Sample 77, Group score: 1, Time: 32.672 seconds
Sample 80, Group score: 0, Time: 31.779 seconds
Sample 81, Group score: 0, Time: 20.327 seconds
Sample 83, Group score: 0, Time: 28.617 seconds
Sample 87, Group score: 0, Time: 38.187 seconds
Sample 90, Group score: 0, Time: 21.814 seconds
Sample 91, Group score: 1, Time: 32.09 seconds
Sample 95, Group score: 0, Time: 27.91 seconds
Sample 96, Group score: 0, Time: 22.432 seconds
Sample 98, Group score: 0, Time: 37.569 seconds
Sample 102, Group score: 0, Time: 30.705 seconds
Sample 103, Group score: 0, Time: 29.294 seconds
Sample 104, Group score: 1, Time: 24.701 seconds
Sample 105, Group score: 1, Time: 35.298 seconds
Sample 109, Group score: 0, Time: 17.373 seconds
Sample 135, Group score: 0, Time: 28.29 seconds
Sample 136, Group score: 1, Time: 31.707 seconds
Sample 137, Group score: 0, Time: 20.636 seconds
Sample 138, Group score: 0, Time: 39.365 seconds
Sample 139, Group score: 0, Time: 23.112 seconds
Sample 141, Group score: 0, Time: 36.886 seconds
Sample 142, Group score: 1, Time: 22.784 seconds
Sample 143, Group score: 0, Time: 37.213 seconds
Sample 147, Group score: 1, Time: 20.422 seconds
Sample 150, Group score: 1, Time: 42.406 seconds
Sample 151, Group score: 0, Time: 60.003 seconds
Sample 152, Group score: 0, Time: 24.454 seconds
Sample 153, Group score: 1, Time: 35.546 seconds
Sample 155, Group score: 0, Time: 29.458 seconds
Sample 157, Group score: 0, Time: 37.086 seconds
Sample 158, Group score: 1, Time: 59.999 seconds
Sample 162, Group score: 1, Time: 33.457 seconds
Sample 163, Group score: 1, Time: 26.541 seconds
Sample 165, Group score: 0, Time: 28.673 seconds
Sample 166, Group score: 0, Time: 31.327 seconds
Sample 167, Group score: 1, Time: 20.081 seconds
Sample 169, Group score: 0, Time: 39.92 seconds
Sample 172, Group score: 1, Time: 15.595 seconds
Sample 173, Group score: 0, Time: 44.389 seconds
Sample 174, Group score: 0, Time: 18.945 seconds
Sample 175, Group score: 0, Time: 21.516 seconds
Sample 178, Group score: 0, Time: 38.475 seconds
Sample 180, Group score: 0, Time: 23.151 seconds
Sample 181, Group score: 0, Time: 36.85 seconds
Sample 183, Group score: 0, Time: 21.34 seconds
Sample 187, Group score: 0, Time: 38.656 seconds
Sample 191, Group score: 0, Time: 18.68 seconds
Sample 192, Group score: 0, Time: 41.319 seconds
Sample 193, Group score: 0, Time: 20.922 seconds
Sample 194, Group score: 0, Time: 39.076 seconds
Sample 196, Group score: 0, Time: 21.186 seconds
Sample 197, Group score: 0, Time: 41.053 seconds
Sample 199, Group score: 0, Time: 60.0 seconds
Sample 206, Group score: 0, Time: 25.765 seconds
Sample 207, Group score: 0, Time: 34.219 seconds
Sample 208, Group score: 0, Time: 21.351 seconds
Sample 210, Group score: 0, Time: 38.65 seconds
Sample 212, Group score: 1, Time: 28.061 seconds
Sample 213, Group score: 0, Time: 31.939 seconds
Sample 214, Group score: 0, Time: 41.317 seconds
Sample 216, Group score: 0, Time: 26.876 seconds
Sample 217, Group score: 0, Time: 60.0 seconds
Sample 226, Group score: 0, Time: 35.792 seconds
Sample 229, Group score: 0, Time: 24.205 seconds
Sample 231, Group score: 0, Time: 19.322 seconds
Sample 232, Group score: 0, Time: 28.609 seconds
Sample 235, Group score: 1, Time: 31.384 seconds
Sample 236, Group score: 0, Time: 19.004 seconds
Sample 237, Group score: 0, Time: 40.993 seconds
Sample 238, Group score: 0, Time: 21.324 seconds
Sample 239, Group score: 0, Time: 38.659 seconds
Sample 242, Group score: 0, Time: 32.479 seconds
Sample 243, Group score: 0, Time: 27.518 seconds
Sample 245, Group score: 1, Time: 18.033 seconds
Sample 246, Group score: 1, Time: 41.968 seconds
Sample 248, Group score: 0, Time: 19.378 seconds
Sample 251, Group score: 0, Time: 40.621 seconds
Sample 252, Group score: 1, Time: 22.868 seconds
Sample 253, Group score: 0, Time: 37.128 seconds
Sample 255, Group score: 0, Time: 21.681 seconds
Sample 256, Group score: 0, Time: 38.316 seconds
Sample 259, Group score: 0, Time: 30.701 seconds
Sample 265, Group score: 0, Time: 39.938 seconds
Sample 268, Group score: 0, Time: 60.001 seconds
Sample 273, Group score: 1, Time: 24.853 seconds
Sample 276, Group score: 0, Time: 35.102 seconds
Sample 277, Group score: 1, Time: 19.799 seconds
Sample 280, Group score: 0, Time: 40.191 seconds
Sample 281, Group score: 0, Time: 25.09 seconds
Sample 282, Group score: 0, Time: 34.902 seconds
Sample 128, Group score: 0, Time: 21.917 seconds
Sample 129, Group score: 1, Time: 39.444 seconds
Sample 130, Group score: 0, Time: 60.002 seconds
Sample 131, Group score: 0, Time: 29.912 seconds
Sample 132, Group score: 0, Time: 30.085 seconds
Sample 385, Group score: 0, Time: 29.562 seconds
Sample 386, Group score: 1, Time: 34.923 seconds
Sample 387, Group score: 0, Time: 60.002 seconds
Sample 8, Group score: 0, Time: 31.208 seconds
Sample 388, Group score: 1, Time: 28.795 seconds
Sample 390, Group score: 0, Time: 30.646 seconds
Sample 391, Group score: 1, Time: 60.007 seconds
Sample 393, Group score: 0, Time: 32.489 seconds
Sample 394, Group score: 0, Time: 27.515 seconds
Sample 396, Group score: 0, Time: 32.548 seconds
Sample 397, Group score: 0, Time: 35.897 seconds
Sample 398, Group score: 0, Time: 60.01 seconds
Sample 286, Group score: 0, Time: 17.328 seconds
Sample 290, Group score: 0, Time: 42.669 seconds
Sample 292, Group score: 0, Time: 23.553 seconds
Sample 293, Group score: 0, Time: 36.451 seconds
Sample 294, Group score: 0, Time: 31.537 seconds
Sample 297, Group score: 0, Time: 28.461 seconds
Sample 300, Group score: 0, Time: 28.16 seconds
Sample 304, Group score: 0, Time: 21.384 seconds
Sample 306, Group score: 0, Time: 38.606 seconds
Sample 309, Group score: 0, Time: 36.887 seconds
Sample 310, Group score: 0, Time: 36.152 seconds
Sample 311, Group score: 0, Time: 60.0 seconds
Sample 313, Group score: 1, Time: 21.881 seconds
Sample 316, Group score: 0, Time: 38.115 seconds
Sample 318, Group score: 0, Time: 21.206 seconds
Sample 319, Group score: 0, Time: 38.77 seconds
Sample 320, Group score: 0, Time: 53.973 seconds
Sample 326, Group score: 0, Time: 24.598 seconds
Sample 328, Group score: 0, Time: 60.002 seconds
Sample 330, Group score: 0, Time: 42.44 seconds
Sample 331, Group score: 0, Time: 26.908 seconds
Sample 332, Group score: 0, Time: 60.0 seconds
Sample 333, Group score: 0, Time: 30.427 seconds
Sample 78, Group score: 0, Time: 29.685 seconds
Sample 337, Group score: 0, Time: 60.004 seconds
Sample 339, Group score: 0, Time: 21.553 seconds
Sample 84, Group score: 0, Time: 38.447 seconds
Sample 85, Group score: 0, Time: 18.823 seconds
Sample 86, Group score: 0, Time: 41.179 seconds
Sample 340, Group score: 0, Time: 38.243 seconds
Sample 341, Group score: 1, Time: 28.662 seconds
Sample 345, Group score: 0, Time: 60.001 seconds
Sample 389, Group score: 0, Time: 26.827 seconds
Sample 346, Group score: 1, Time: 23.808 seconds
Sample 348, Group score: 0, Time: 60.002 seconds
Sample 351, Group score: 0, Time: 22.381 seconds
Sample 355, Group score: 0, Time: 37.616 seconds
Sample 361, Group score: 0, Time: 42.589 seconds
Sample 364, Group score: 1, Time: 23.953 seconds
Sample 365, Group score: 0, Time: 60.003 seconds
Sample 110, Group score: 0, Time: 23.872 seconds
Sample 366, Group score: 0, Time: 36.305 seconds
Sample 112, Group score: 0, Time: 60.0 seconds
Sample 113, Group score: 0, Time: 20.08 seconds
Sample 114, Group score: 1, Time: 39.914 seconds
Sample 115, Group score: 0, Time: 17.316 seconds
Sample 116, Group score: 1, Time: 42.678 seconds
Sample 370, Group score: 1, Time: 23.512 seconds
Sample 379, Group score: 0, Time: 36.486 seconds
Sample 375, Group score: 0, Time: 25.932 seconds
Sample 377, Group score: 0, Time: 34.069 seconds
Sample 122, Group score: 0, Time: 21.633 seconds
Sample 123, Group score: 1, Time: 38.365 seconds
Sample 383, Group score: 0, Time: 22.493 seconds
Sample 119, Group score: 0, Time: 24.447 seconds
