Sample 0, Group score: 1, Time: 20.03 seconds
Sample 1, Group score: 0, Time: 29.785 seconds
Sample 2, Group score: 0, Time: 23.259 seconds
Sample 3, Group score: 0, Time: 23.006 seconds
Sample 4, Group score: 1, Time: 20.166 seconds
Sample 5, Group score: 1, Time: 17.399 seconds
Sample 6, Group score: 0, Time: 23.752 seconds
Sample 7, Group score: 0, Time: 26.98 seconds
Sample 8, Group score: 0, Time: 28.146 seconds
Sample 9, Group score: 1, Time: 34.557 seconds
Sample 10, Group score: 1, Time: 22.952 seconds
Sample 11, Group score: 1, Time: 32.366 seconds
Sample 12, Group score: 1, Time: 18.387 seconds
Sample 13, Group score: 0, Time: 32.569 seconds
Sample 14, Group score: 0, Time: 21.695 seconds
Sample 15, Group score: 0, Time: 25.074 seconds
Sample 16, Group score: 0, Time: 18.343 seconds
Sample 17, Group score: 1, Time: 19.757 seconds
Sample 18, Group score: 1, Time: 33.133 seconds
Sample 19, Group score: 1, Time: 32.934 seconds
Sample 20, Group score: 0, Time: 67.325 seconds
Sample 21, Group score: 1, Time: 21.839 seconds
Sample 22, Group score: 1, Time: 26.467 seconds
Sample 23, Group score: 1, Time: 22.845 seconds
Sample 24, Group score: 0, Time: 26.205 seconds
Sample 25, Group score: 0, Time: 30.934 seconds
Sample 26, Group score: 0, Time: 30.942 seconds
Sample 27, Group score: 0, Time: 39.842 seconds
Sample 28, Group score: 1, Time: 25.895 seconds
Sample 29, Group score: 1, Time: 33.029 seconds
Sample 30, Group score: 1, Time: 27.502 seconds
Sample 31, Group score: 0, Time: 17.388 seconds
Sample 32, Group score: 1, Time: 23.594 seconds
Sample 33, Group score: 0, Time: 20.641 seconds
Sample 34, Group score: 0, Time: 33.107 seconds
Sample 35, Group score: 0, Time: 21.391 seconds
Sample 36, Group score: 0, Time: 30.373 seconds
Sample 37, Group score: 1, Time: 31.042 seconds
Sample 38, Group score: 0, Time: 39.632 seconds
Sample 39, Group score: 1, Time: 39.428 seconds
Sample 40, Group score: 0, Time: 33.547 seconds
Sample 41, Group score: 0, Time: 21.253 seconds
Sample 42, Group score: 0, Time: 25.877 seconds
Sample 43, Group score: 0, Time: 41.89 seconds
Sample 44, Group score: 0, Time: 42.099 seconds
Sample 45, Group score: 1, Time: 28.271 seconds
Sample 46, Group score: 0, Time: 22.141 seconds
Sample 47, Group score: 0, Time: 26.54 seconds
Sample 48, Group score: 1, Time: 33.778 seconds
Sample 49, Group score: 1, Time: 23.073 seconds
Sample 50, Group score: 0, Time: 29.819 seconds
Sample 51, Group score: 1, Time: 42.297 seconds
Sample 52, Group score: 0, Time: 26.356 seconds
Sample 53, Group score: 0, Time: 26.594 seconds
Sample 54, Group score: 0, Time: 26.92 seconds
Sample 55, Group score: 0, Time: 27.282 seconds
Sample 56, Group score: 0, Time: 26.56 seconds
Sample 57, Group score: 1, Time: 43.707 seconds
Sample 58, Group score: 0, Time: 30.091 seconds
Sample 59, Group score: 0, Time: 23.391 seconds
Sample 60, Group score: 0, Time: 33.882 seconds
Sample 61, Group score: 0, Time: 33.559 seconds
Sample 62, Group score: 0, Time: 25.852 seconds
Sample 63, Group score: 1, Time: 19.765 seconds
Sample 64, Group score: 0, Time: 27.97 seconds
Sample 65, Group score: 1, Time: 28.658 seconds
Sample 66, Group score: 0, Time: 19.145 seconds
Sample 67, Group score: 0, Time: 24.372 seconds
Sample 68, Group score: 0, Time: 30.002 seconds
Sample 69, Group score: 1, Time: 51.38 seconds
Sample 70, Group score: 0, Time: 24.646 seconds
Sample 71, Group score: 0, Time: 28.527 seconds
Sample 72, Group score: 1, Time: 21.466 seconds
Sample 73, Group score: 1, Time: 28.839 seconds
Sample 74, Group score: 1, Time: 25.77 seconds
Sample 75, Group score: 1, Time: 25.934 seconds
Sample 76, Group score: 0, Time: 41.276 seconds
Sample 77, Group score: 0, Time: 27.713 seconds
Sample 78, Group score: 0, Time: 26.246 seconds
Sample 79, Group score: 0, Time: 37.367 seconds
Sample 80, Group score: 0, Time: 45.873 seconds
Sample 81, Group score: 0, Time: 20.732 seconds
Sample 82, Group score: 0, Time: 23.463 seconds
Sample 83, Group score: 0, Time: 27.337 seconds
Sample 84, Group score: 1, Time: 28.788 seconds
Sample 85, Group score: 0, Time: 30.444 seconds
Sample 86, Group score: 1, Time: 28.305 seconds
Sample 87, Group score: 0, Time: 28.95 seconds
Sample 88, Group score: 0, Time: 31.103 seconds
Sample 89, Group score: 1, Time: 37.743 seconds
Sample 90, Group score: 0, Time: 40.617 seconds
Sample 91, Group score: 1, Time: 28.056 seconds
Sample 92, Group score: 1, Time: 29.041 seconds
Sample 93, Group score: 0, Time: 24.68 seconds
