Sample 4, Group score: 0, Time: 21.79 seconds
Sample 5, Group score: 0, Time: 38.208 seconds
Sample 8, Group score: 0, Time: 22.972 seconds
Sample 9, Group score: 0, Time: 37.027 seconds
Sample 11, Group score: 1, Time: 21.612 seconds
Sample 13, Group score: 0, Time: 38.386 seconds
Sample 48, Group score: 1, Time: 20.722 seconds
Sample 49, Group score: 1, Time: 24.102 seconds
Sample 50, Group score: 0, Time: 60.002 seconds
Sample 55, Group score: 1, Time: 26.893 seconds
Sample 57, Group score: 1, Time: 33.106 seconds
Sample 58, Group score: 0, Time: 32.375 seconds
Sample 59, Group score: 0, Time: 27.625 seconds
Sample 87, Group score: 0, Time: 38.092 seconds
Sample 90, Group score: 1, Time: 21.636 seconds
Sample 91, Group score: 1, Time: 38.364 seconds
Sample 95, Group score: 0, Time: 16.516 seconds
Sample 96, Group score: 0, Time: 43.483 seconds
Sample 98, Group score: 0, Time: 24.365 seconds
Sample 102, Group score: 1, Time: 35.631 seconds
Sample 103, Group score: 0, Time: 38.066 seconds
Sample 104, Group score: 1, Time: 24.831 seconds
Sample 105, Group score: 0, Time: 59.999 seconds
Sample 109, Group score: 0, Time: 18.683 seconds
Sample 110, Group score: 0, Time: 41.313 seconds
Sample 112, Group score: 0, Time: 21.094 seconds
Sample 113, Group score: 1, Time: 38.906 seconds
Sample 114, Group score: 0, Time: 19.579 seconds
Sample 115, Group score: 0, Time: 40.417 seconds
Sample 116, Group score: 1, Time: 21.422 seconds
Sample 119, Group score: 0, Time: 38.575 seconds
Sample 122, Group score: 1, Time: 18.759 seconds
Sample 123, Group score: 1, Time: 41.239 seconds
Sample 128, Group score: 1, Time: 20.958 seconds
Sample 129, Group score: 1, Time: 39.039 seconds
Sample 130, Group score: 0, Time: 19.902 seconds
Sample 131, Group score: 0, Time: 46.953 seconds
Sample 132, Group score: 0, Time: 60.002 seconds
Sample 135, Group score: 0, Time: 25.64 seconds
Sample 136, Group score: 1, Time: 34.336 seconds
Sample 175, Group score: 0, Time: 19.442 seconds
Sample 178, Group score: 0, Time: 17.516 seconds
Sample 180, Group score: 0, Time: 60.0 seconds
Sample 181, Group score: 1, Time: 28.734 seconds
Sample 286, Group score: 0, Time: 60.004 seconds
Sample 290, Group score: 0, Time: 33.058 seconds
Sample 292, Group score: 0, Time: 27.793 seconds
Sample 293, Group score: 0, Time: 60.006 seconds
Sample 294, Group score: 0, Time: 37.149 seconds
Sample 297, Group score: 0, Time: 35.388 seconds
Sample 300, Group score: 0, Time: 60.003 seconds
Sample 304, Group score: 0, Time: 14.108 seconds
Sample 306, Group score: 0, Time: 45.888 seconds
Sample 309, Group score: 1, Time: 23.683 seconds
Sample 310, Group score: 1, Time: 36.323 seconds
Sample 311, Group score: 0, Time: 29.661 seconds
Sample 313, Group score: 0, Time: 30.344 seconds
Sample 316, Group score: 0, Time: 21.257 seconds
Sample 318, Group score: 1, Time: 38.748 seconds
Sample 319, Group score: 0, Time: 17.412 seconds
Sample 320, Group score: 0, Time: 46.37 seconds
Sample 326, Group score: 0, Time: 60.006 seconds
Sample 328, Group score: 0, Time: 25.578 seconds
Sample 330, Group score: 0, Time: 34.425 seconds
Sample 331, Group score: 0, Time: 28.875 seconds
Sample 15, Group score: 0, Time: 26.659 seconds
Sample 16, Group score: 0, Time: 33.339 seconds
Sample 17, Group score: 1, Time: 12.847 seconds
Sample 19, Group score: 0, Time: 47.155 seconds
Sample 22, Group score: 1, Time: 20.342 seconds
Sample 23, Group score: 0, Time: 39.659 seconds
Sample 24, Group score: 0, Time: 24.864 seconds
Sample 25, Group score: 0, Time: 35.138 seconds
Sample 27, Group score: 1, Time: 24.164 seconds
Sample 28, Group score: 1, Time: 35.836 seconds
Sample 29, Group score: 1, Time: 16.061 seconds
Sample 31, Group score: 0, Time: 43.937 seconds
Sample 33, Group score: 0, Time: 28.029 seconds
Sample 34, Group score: 0, Time: 31.97 seconds
Sample 35, Group score: 0, Time: 18.672 seconds
Sample 36, Group score: 1, Time: 41.33 seconds
Sample 42, Group score: 0, Time: 22.036 seconds
Sample 43, Group score: 0, Time: 37.966 seconds
Sample 46, Group score: 1, Time: 20.276 seconds
Sample 73, Group score: 1, Time: 30.967 seconds
Sample 74, Group score: 1, Time: 29.84 seconds
Sample 75, Group score: 0, Time: 30.157 seconds
Sample 76, Group score: 0, Time: 31.803 seconds
Sample 77, Group score: 0, Time: 28.198 seconds
Sample 78, Group score: 0, Time: 23.462 seconds
Sample 80, Group score: 0, Time: 36.538 seconds
Sample 81, Group score: 0, Time: 20.215 seconds
Sample 83, Group score: 0, Time: 39.782 seconds
Sample 84, Group score: 0, Time: 26.508 seconds
Sample 85, Group score: 0, Time: 33.492 seconds
Sample 86, Group score: 0, Time: 26.547 seconds
Sample 137, Group score: 0, Time: 33.452 seconds
Sample 138, Group score: 0, Time: 18.972 seconds
Sample 139, Group score: 0, Time: 41.029 seconds
Sample 141, Group score: 1, Time: 25.79 seconds
Sample 142, Group score: 1, Time: 34.207 seconds
Sample 143, Group score: 0, Time: 32.218 seconds
Sample 158, Group score: 1, Time: 23.474 seconds
Sample 214, Group score: 0, Time: 44.915 seconds
Sample 216, Group score: 1, Time: 19.647 seconds
Sample 217, Group score: 0, Time: 40.353 seconds
Sample 226, Group score: 0, Time: 20.978 seconds
Sample 62, Group score: 0, Time: 22.604 seconds
Sample 63, Group score: 0, Time: 23.057 seconds
Sample 65, Group score: 1, Time: 19.422 seconds
Sample 67, Group score: 0, Time: 20.176 seconds
Sample 69, Group score: 0, Time: 22.452 seconds
Sample 72, Group score: 0, Time: 30.84 seconds
Sample 147, Group score: 1, Time: 23.587 seconds
Sample 150, Group score: 1, Time: 19.224 seconds
Sample 151, Group score: 0, Time: 23.633 seconds
Sample 152, Group score: 0, Time: 18.822 seconds
Sample 153, Group score: 1, Time: 23.552 seconds
Sample 155, Group score: 0, Time: 27.016 seconds
Sample 157, Group score: 0, Time: 22.95 seconds
Sample 162, Group score: 0, Time: 24.99 seconds
Sample 163, Group score: 1, Time: 16.154 seconds
Sample 165, Group score: 0, Time: 23.79 seconds
Sample 166, Group score: 0, Time: 22.79 seconds
Sample 167, Group score: 0, Time: 21.412 seconds
Sample 169, Group score: 0, Time: 23.14 seconds
Sample 172, Group score: 0, Time: 23.046 seconds
Sample 173, Group score: 0, Time: 22.383 seconds
Sample 174, Group score: 0, Time: 27.811 seconds
Sample 183, Group score: 0, Time: 29.891 seconds
Sample 187, Group score: 0, Time: 27.436 seconds
Sample 191, Group score: 0, Time: 35.986 seconds
Sample 192, Group score: 0, Time: 28.036 seconds
Sample 193, Group score: 0, Time: 39.198 seconds
Sample 194, Group score: 1, Time: 20.953 seconds
Sample 196, Group score: 0, Time: 35.745 seconds
Sample 197, Group score: 1, Time: 28.117 seconds
Sample 199, Group score: 0, Time: 31.983 seconds
Sample 206, Group score: 1, Time: 28.831 seconds
Sample 207, Group score: 0, Time: 36.716 seconds
Sample 208, Group score: 0, Time: 29.734 seconds
Sample 210, Group score: 0, Time: 28.022 seconds
Sample 212, Group score: 1, Time: 27.242 seconds
Sample 213, Group score: 0, Time: 35.323 seconds
Sample 256, Group score: 0, Time: 31.349 seconds
Sample 385, Group score: 0, Time: 33.184 seconds
Sample 386, Group score: 0, Time: 20.566 seconds
Sample 259, Group score: 0, Time: 37.291 seconds
Sample 387, Group score: 0, Time: 38.091 seconds
Sample 388, Group score: 1, Time: 15.557 seconds
Sample 389, Group score: 0, Time: 23.706 seconds
Sample 383, Group score: 0, Time: 20.97 seconds
Sample 390, Group score: 0, Time: 17.553 seconds
Sample 265, Group score: 1, Time: 34.408 seconds
Sample 391, Group score: 0, Time: 19.377 seconds
