Sample 0, Group score: 0, Time: 26.291 seconds
Sample 1, Group score: 0, Time: 32.496 seconds
Sample 2, Group score: 0, Time: 22.02 seconds
Sample 3, Group score: 0, Time: 29.349 seconds
Sample 4, Group score: 0, Time: 29.874 seconds
Sample 5, Group score: 1, Time: 23.049 seconds
Sample 6, Group score: 1, Time: 44.348 seconds
Sample 7, Group score: 1, Time: 36.527 seconds
Sample 8, Group score: 0, Time: 26.161 seconds
Sample 9, Group score: 1, Time: 24.227 seconds
Sample 10, Group score: 1, Time: 42.345 seconds
Sample 11, Group score: 0, Time: 48.228 seconds
Sample 12, Group score: 0, Time: 17.778 seconds
Sample 13, Group score: 0, Time: 25.607 seconds
Sample 14, Group score: 1, Time: 17.912 seconds
Sample 15, Group score: 0, Time: 21.942 seconds
Sample 16, Group score: 0, Time: 22.71 seconds
Sample 17, Group score: 1, Time: 37.367 seconds
Sample 18, Group score: 0, Time: 24.925 seconds
Sample 19, Group score: 0, Time: 20.852 seconds
Sample 20, Group score: 0, Time: 42.239 seconds
Sample 21, Group score: 1, Time: 37.452 seconds
Sample 22, Group score: 1, Time: 30.509 seconds
Sample 23, Group score: 0, Time: 27.409 seconds
Sample 24, Group score: 0, Time: 22.171 seconds
Sample 25, Group score: 0, Time: 21.724 seconds
Sample 26, Group score: 0, Time: 21.962 seconds
Sample 27, Group score: 1, Time: 24.842 seconds
Sample 28, Group score: 1, Time: 28.196 seconds
Sample 29, Group score: 1, Time: 23.568 seconds
Sample 30, Group score: 0, Time: 33.28 seconds
Sample 31, Group score: 0, Time: 25.449 seconds
Sample 32, Group score: 0, Time: 21.514 seconds
Sample 33, Group score: 0, Time: 20.302 seconds
Sample 34, Group score: 0, Time: 32.679 seconds
Sample 35, Group score: 0, Time: 27.101 seconds
Sample 36, Group score: 1, Time: 27.457 seconds
Sample 37, Group score: 1, Time: 27.243 seconds
Sample 38, Group score: 0, Time: 31.96 seconds
Sample 39, Group score: 0, Time: 25.211 seconds
Sample 40, Group score: 0, Time: 48.155 seconds
Sample 41, Group score: 0, Time: 28.358 seconds
Sample 42, Group score: 0, Time: 20.945 seconds
Sample 43, Group score: 0, Time: 24.477 seconds
Sample 44, Group score: 0, Time: 38.792 seconds
Sample 45, Group score: 1, Time: 19.665 seconds
Sample 46, Group score: 1, Time: 28.375 seconds
Sample 47, Group score: 0, Time: 25.084 seconds
Sample 48, Group score: 1, Time: 40.794 seconds
Sample 49, Group score: 0, Time: 28.743 seconds
Sample 50, Group score: 0, Time: 35.265 seconds
Sample 51, Group score: 1, Time: 30.915 seconds
Sample 52, Group score: 0, Time: 28.776 seconds
Sample 53, Group score: 0, Time: 23.307 seconds
Sample 54, Group score: 0, Time: 27.433 seconds
Sample 55, Group score: 0, Time: 25.269 seconds
Sample 56, Group score: 0, Time: 27.262 seconds
Sample 57, Group score: 0, Time: 33.591 seconds
Sample 58, Group score: 0, Time: 37.272 seconds
Sample 59, Group score: 0, Time: 32.663 seconds
Sample 60, Group score: 0, Time: 22.826 seconds
Sample 61, Group score: 1, Time: 22.023 seconds
Sample 62, Group score: 0, Time: 25.164 seconds
Sample 63, Group score: 0, Time: 19.283 seconds
Sample 64, Group score: 0, Time: 22.666 seconds
Sample 65, Group score: 1, Time: 20.501 seconds
Sample 66, Group score: 0, Time: 22.561 seconds
Sample 67, Group score: 0, Time: 28.944 seconds
Sample 68, Group score: 0, Time: 24.932 seconds
Sample 69, Group score: 0, Time: 32.327 seconds
Sample 70, Group score: 0, Time: 28.44 seconds
Sample 71, Group score: 0, Time: 34.185 seconds
Sample 72, Group score: 0, Time: 30.16 seconds
Sample 73, Group score: 1, Time: 30.816 seconds
Sample 74, Group score: 1, Time: 23.969 seconds
Sample 75, Group score: 0, Time: 23.836 seconds
Sample 76, Group score: 0, Time: 25.445 seconds
Sample 77, Group score: 1, Time: 26.688 seconds
Sample 78, Group score: 0, Time: 23.011 seconds
Sample 79, Group score: 0, Time: 29.146 seconds
