Sample 1, Group score: 0, Time: 19.222 seconds
Sample 2, Group score: 0, Time: 29.13 seconds
Sample 3, Group score: 0, Time: 24.743 seconds
Sample 4, Group score: 1, Time: 25.486 seconds
Sample 5, Group score: 1, Time: 29.008 seconds
Sample 6, Group score: 0, Time: 37.425 seconds
Sample 7, Group score: 0, Time: 30.68 seconds
Sample 8, Group score: 1, Time: 27.916 seconds
Sample 9, Group score: 0, Time: 34.22 seconds
Sample 10, Group score: 1, Time: 25.145 seconds
Sample 11, Group score: 1, Time: 25.963 seconds
Sample 12, Group score: 0, Time: 28.741 seconds
Sample 13, Group score: 0, Time: 32.112 seconds
Sample 14, Group score: 0, Time: 18.359 seconds
Sample 15, Group score: 0, Time: 25.071 seconds
Sample 16, Group score: 0, Time: 25.077 seconds
Sample 17, Group score: 0, Time: 17.429 seconds
Sample 18, Group score: 0, Time: 27.272 seconds
Sample 19, Group score: 0, Time: 21.417 seconds
Sample 20, Group score: 0, Time: 25.765 seconds
Sample 21, Group score: 1, Time: 20.501 seconds
Sample 22, Group score: 0, Time: 19.344 seconds
Sample 23, Group score: 0, Time: 28.307 seconds
Sample 24, Group score: 1, Time: 29.913 seconds
Sample 25, Group score: 0, Time: 21.466 seconds
Sample 26, Group score: 1, Time: 38.795 seconds
Sample 27, Group score: 0, Time: 28.432 seconds
Sample 28, Group score: 0, Time: 23.339 seconds
Sample 29, Group score: 1, Time: 19.209 seconds
Sample 30, Group score: 1, Time: 26.925 seconds
Sample 31, Group score: 0, Time: 55.193 seconds
Sample 32, Group score: 0, Time: 22.41 seconds
Sample 33, Group score: 0, Time: 22.021 seconds
Sample 34, Group score: 0, Time: 36.075 seconds
Sample 35, Group score: 0, Time: 27.493 seconds
Sample 36, Group score: 1, Time: 17.825 seconds
Sample 37, Group score: 1, Time: 24.517 seconds
Sample 38, Group score: 0, Time: 28.969 seconds
Sample 39, Group score: 0, Time: 31.995 seconds
Sample 40, Group score: 0, Time: 32.419 seconds
Sample 41, Group score: 0, Time: 25.016 seconds
Sample 42, Group score: 0, Time: 25.899 seconds
Sample 43, Group score: 0, Time: 30.871 seconds
Sample 44, Group score: 0, Time: 35.932 seconds
Sample 45, Group score: 1, Time: 23.394 seconds
Sample 46, Group score: 1, Time: 48.937 seconds
Sample 47, Group score: 0, Time: 27.823 seconds
Sample 48, Group score: 0, Time: 34.555 seconds
Sample 49, Group score: 1, Time: 24.639 seconds
Sample 50, Group score: 0, Time: 35.112 seconds
Sample 51, Group score: 1, Time: 33.612 seconds
Sample 52, Group score: 1, Time: 23.508 seconds
Sample 53, Group score: 0, Time: 27.801 seconds
Sample 54, Group score: 1, Time: 27.84 seconds
Sample 55, Group score: 0, Time: 21.92 seconds
Sample 56, Group score: 0, Time: 32.012 seconds
Sample 57, Group score: 0, Time: 35.717 seconds
Sample 58, Group score: 0, Time: 25.296 seconds
Sample 59, Group score: 0, Time: 25.776 seconds
Sample 60, Group score: 0, Time: 34.515 seconds
