Sample 4, Group score: 0, Time: 21.043 seconds
Sample 5, Group score: 1, Time: 25.845 seconds
Sample 8, Group score: 1, Time: 25.08 seconds
Sample 9, Group score: 1, Time: 34.919 seconds
Sample 11, Group score: 0, Time: 25.516 seconds
Sample 13, Group score: 0, Time: 34.482 seconds
Sample 15, Group score: 0, Time: 25.115 seconds
Sample 16, Group score: 0, Time: 34.883 seconds
Sample 17, Group score: 1, Time: 18.648 seconds
Sample 19, Group score: 1, Time: 41.355 seconds
Sample 22, Group score: 1, Time: 22.114 seconds
Sample 23, Group score: 0, Time: 53.466 seconds
Sample 24, Group score: 0, Time: 60.002 seconds
Sample 25, Group score: 0, Time: 30.103 seconds
Sample 27, Group score: 0, Time: 29.894 seconds
Sample 28, Group score: 1, Time: 24.131 seconds
Sample 29, Group score: 1, Time: 35.869 seconds
Sample 31, Group score: 0, Time: 18.57 seconds
Sample 33, Group score: 0, Time: 41.424 seconds
Sample 34, Group score: 0, Time: 27.106 seconds
Sample 35, Group score: 0, Time: 32.891 seconds
Sample 36, Group score: 1, Time: 20.186 seconds
Sample 48, Group score: 1, Time: 31.095 seconds
Sample 49, Group score: 0, Time: 59.999 seconds
Sample 50, Group score: 0, Time: 27.111 seconds
Sample 55, Group score: 0, Time: 32.889 seconds
Sample 57, Group score: 0, Time: 22.613 seconds
Sample 58, Group score: 0, Time: 37.384 seconds
Sample 59, Group score: 0, Time: 18.657 seconds
Sample 62, Group score: 0, Time: 41.341 seconds
Sample 63, Group score: 0, Time: 23.98 seconds
Sample 65, Group score: 1, Time: 36.018 seconds
Sample 67, Group score: 0, Time: 24.096 seconds
Sample 69, Group score: 1, Time: 35.902 seconds
Sample 72, Group score: 1, Time: 20.904 seconds
Sample 73, Group score: 0, Time: 39.108 seconds
Sample 74, Group score: 1, Time: 25.293 seconds
Sample 75, Group score: 0, Time: 34.713 seconds
Sample 76, Group score: 0, Time: 25.846 seconds
Sample 77, Group score: 1, Time: 34.157 seconds
Sample 78, Group score: 0, Time: 28.903 seconds
Sample 80, Group score: 0, Time: 31.104 seconds
Sample 81, Group score: 0, Time: 21.627 seconds
Sample 83, Group score: 0, Time: 38.376 seconds
Sample 84, Group score: 1, Time: 24.839 seconds
Sample 85, Group score: 0, Time: 35.167 seconds
Sample 86, Group score: 0, Time: 23.278 seconds
Sample 87, Group score: 0, Time: 26.045 seconds
Sample 90, Group score: 0, Time: 27.67 seconds
Sample 91, Group score: 1, Time: 60.002 seconds
Sample 95, Group score: 0, Time: 18.507 seconds
Sample 96, Group score: 0, Time: 41.492 seconds
Sample 98, Group score: 0, Time: 27.816 seconds
Sample 102, Group score: 0, Time: 32.182 seconds
Sample 103, Group score: 1, Time: 25.605 seconds
Sample 104, Group score: 1, Time: 34.393 seconds
Sample 105, Group score: 1, Time: 30.699 seconds
Sample 109, Group score: 1, Time: 29.302 seconds
Sample 110, Group score: 0, Time: 25.652 seconds
Sample 112, Group score: 0, Time: 34.347 seconds
Sample 113, Group score: 1, Time: 28.594 seconds
Sample 114, Group score: 1, Time: 31.403 seconds
Sample 115, Group score: 1, Time: 23.246 seconds
Sample 116, Group score: 1, Time: 36.752 seconds
Sample 122, Group score: 1, Time: 24.562 seconds
